Breed_Name,FCI_Group,AKC_Group,Origin_Country,Size_Category,Average_Height_cm,Average_Weight_kg,Life_Expectancy_Years,Temperament,Primary_Purpose,Coat_Type,Color_Varieties,Training_Difficulty,Exercise_Needs,Grooming_Needs,Good_With_Families,Good_With_Children,Shedding_Level,Health_Concerns
Pointer (German Shorthaired),7 - Pointers,Sporting,Germany,Large,58-70,25-32,10-12,Alert; Eager; Even-Tempered; Friendly; Intelligent; Lively; Willing; Obedient,Hunting; Pointing; Companion; Family,Short; Dense; Double; Close; Glossy; Bristly Muzzle,Liver; Black; Roan; Combinations; Spotted,Moderate,Very High,Moderate,Yes,Yes,High,Hip Dysplasia; Elbow Dysplasia; Bloat; Progressive Retinal Atrophy
Pointer (German Wirehaired),7 - Pointers,Sporting,Germany,Large,60-67,24-32,10-12,Alert; Eager; Even-Tempered; Friendly; Intelligent; Lively; Obedient; Willing,Hunting; Pointing; Companion; Family,Medium; Double; Harsh; Wiry; Dense; Bristly Mustache and Eyebrows,Liver; Black and White; Liver and White; Black; Roan; Combinations,Moderate,Very High,High,Yes,Yes,Moderate,Hip Dysplasia; Elbow Dysplasia; Bloat; Heart Issues
Pointer (Hungarian Vizsla),7 - Pointers,Sporting,Hungary,Large,56-66,18-29,10-13,Affectionate; Alert; Eager; Even-Tempered; Friendly; Gentle; Intelligent; Lively; Sensitive; Loyal,Hunting; Pointing; Companion; Family,Short; Smooth; Fine; Glossy; Dense,Golden; Red; Red-Gold; Russet,Moderate,Very High,Low,Yes,Yes,Low,Hip Dysplasia; Elbow Dysplasia; Progressive Retinal Atrophy; Bloat
Pointer (Italian Spinone),7 - Pointers,Sporting,Italy,Large,59-70,32-39,12-13,Affectionate; Alert; Courageous; Devoted; Even-Tempered; Friendly; Intelligent; Loyal,Hunting; Pointing; Companion; Family,Medium; Double; Thick; Wiry; Bristly Bushy Eyebrows and Beard,Solid Colors; White; Orange; Brown; Liver; Combinations,Moderate,High,High,Yes,Yes,Moderate,Hip Dysplasia; Elbow Dysplasia; Bloat; Gastric Issues
Polish Lowland Sheepdog,1 - Sheepdogs and Cattle Dogs,Herding,Poland,Medium,41-51,13-20,12-15,Affectionate; Alert; Confident; Even-Tempered; Friendly; Intelligent; Loyal; Obedient; Spirited,Herding; Guardian; Companion; Working; Family,Medium; Double; Thick; Dense; Long Coat Covers Eyes,All colors; Combinations; White Markings; Black; Brown; Fawn; Gray,Moderate,High,Very High,Yes,Yes,High,Hip Dysplasia; Elbow Dysplasia; Progressive Retinal Atrophy
Pomeranian,5 - Spitz and Primitive Types,Toy,Germany,Toy,20-30,1.4-3.2,12-16,Alert; Affectionate; Courageous; Curious; Friendly; Intelligent; Keen; Lively; Loyal; Outgoing; Playful; Responsive; Spirited,Companion; Watchdog; Lapdog; Family,Medium; Double; Fluffy; Thick; Dense,All colors; Red; Orange; Cream; Sable; Black; White; Parti-colored; Tan Markings; Brindle,High,Moderate,Very High,Yes,Yes,Very High,Patellar Luxation; Heart Issues; Progressive Retinal Atrophy; Hypothyroidism
Portuguese Podengo,6 - Scenthounds and Related Breeds,Hound,Portugal,Small-Large,20-66,4-27,10-14,Alert; Affectionate; Agile; Courageous; Energetic; Friendly; Intelligent; Keen; Lively; Loyal; Quick,Hunting; Companion; Family,Medium; Varieties - Smooth and Wirehaired,Various colors; Yellow; Red; Black; White; Combinations,Moderate,High,Low-Moderate,Yes,Yes,Moderate,Hip Dysplasia; Patellar Luxation; No Major Health Issues
Portuguese Pointing Dog,7 - Pointers,Sporting,Portugal,Medium,52-60,20-27,12-15,Affectionate; Alert; Eager; Even-Tempered; Friendly; Intelligent; Lively; Loyal,Hunting; Pointing; Companion; Family,Medium; Close; Dense; Smooth; Fine,Brown; Red; White; Combinations; Roan,Moderate,High,Moderate,Yes,Yes,Moderate,Hip Dysplasia; Elbow Dysplasia; Progressive Retinal Atrophy; Ear Infections
Portuguese Sheepdog,1 - Sheepdogs and Cattle Dogs,Herding,Portugal,Medium,41-58,17-27,12-15,Affectionate; Alert; Brave; Courageous; Eager; Energetic; Friendly; Intelligent; Lively; Loyal; Obedient,Herding; Guardian; Working; Companion; Family,Medium; Double; Straight; Slightly Wavy; Feathered; Dense,Black; Yellow; Chestnut; Gray; Fawn; White Markings; Combinations,Moderate,High,Moderate,Yes,Yes,High,Hip Dysplasia; Elbow Dysplasia; Progressive Retinal Atrophy
Portuguese Water Dog,8 - Retrievers; Flushing Dogs; Water Dogs,Sporting,Portugal,Medium,43-57,16-27,11-13,Affectionate; Alert; Courageous; Eager; Even-Tempered; Friendly; Intelligent; Lively; Loyal; Obedient; Spirited; Willing,Hunting; Water Retrieval; Herding; Companion; Family,Medium; Double; Wavy; Curly; Thick; Dense,Black; White; Brown; Combinations; White Markings; Tan Markings,Moderate,Very High,Very High,Yes,Yes,Moderate,Hip Dysplasia; Elbow Dysplasia; Progressive Retinal Atrophy; Bloat
Pudelpointer,7 - Pointers,Sporting,Germany,Large,55-68,25-35,12-14,Affectionate; Alert; Eager; Even-Tempered; Friendly; Intelligent; Lively; Loyal,Hunting; Pointing; Water Retrieval; Companion; Family,Medium; Coarse; Double; Wiry; Dense,Brown; Liver; Black; White; Combinations; Roan,Moderate,Very High,High,Yes,Yes,Moderate,Hip Dysplasia; Elbow Dysplasia; Progressive Retinal Atrophy
Pug,9 - Companion and Toy Dogs,Toy,China,Small,25-30,6.3-8.1,12-15,Alert; Affectionate; Charming; Cheerful; Courageous; Even-Tempered; Friendly; Lively; Loyal; Mischievous; Playful; Sociable; Stubborn; Willful,Companion; Lapdog; Family; Watchdog,Short; Smooth; Close; Fine; Glossy,Fawn; Black; Apricot; Silver; Black Mask or Muzzle,Low,Moderate,Low,Yes,Yes,Moderate,Brachycephalic Syndrome; Patellar Luxation; Progressive Retinal Atrophy; Eye Issues
Puli,1 - Sheepdogs and Cattle Dogs,Herding,Hungary,Medium,39-46,10-15,10-15,Alert; Confident; Determined; Energetic; Intelligent; Loyal; Obedient; Powerful,Herding; Guardian; Working; Companion,Long; Corded; Dense; Double,Black; White; Gray; Apricot; Combinations,High,High,Very High,Yes,Moderate,Low,Hip Dysplasia; No Major Health Issues
Pumi,1 - Sheepdogs and Cattle Dogs,Herding,Hungary,Medium,35-47,8-15,12-13,Alert; Courageous; Determined; Eager; Energetic; Intelligent; Loyal,Herding; Guardian; Companion; Working,Medium; Double; Curly; Wiry; Dense,Red; Black; Gray; White; Cream; Fawn,Moderate,Very High,High,Yes,Yes,Moderate,Hip Dysplasia; Elbow Dysplasia; Progressive Retinal Atrophy
Pyre Shepherd (Pyrenean Shepherd),1 - Sheepdogs and Cattle Dogs,Herding,France,Small-Medium,40-51,7-17,12-15,Active; Affectionate; Alert; Brave; Confident; Courageous; Eager; Energetic; Friendly; Intelligent; Keen; Lively; Loyal; Playful; Sensitive,Herding; Guardian; Companion; Family; Working,Medium; Double; Smooth or Rough; Dense; Feathered,Tan; Red; Fawn; Merle; Blue Merle; Black; Combinations; White Markings,Moderate,Very High,Moderate-High,Yes,Yes,High,Hip Dysplasia; Elbow Dysplasia; Progressive Retinal Atrophy
Pyrenean Mastiff,2 - Pinschers and Schnauzers; Molossoid Breeds; Swiss Mountain and Cattle Dogs,Working,Spain,Giant,70-81,41-59,10-12,Alert; Confident; Courageous; Dignified; Gentle; Intelligent; Loyal; Patient; Protective; Powerful,Guardian; Livestock Protection; Working; Companion,Medium; Double; Thick; Dense; Dense on Neck,White; White with Tan; Apricot; Gray; Markings,Moderate,Moderate,Very High,Yes,Yes,Very High,Hip Dysplasia; Bloat; Elbow Dysplasia
Quincy Schnauzer,2 & 9 - Hybrid,Hybrid/Unrecognized,Hybrid,Small,25-35,5-15,12-14,Affectionate; Alert; Courageous; Friendly; Intelligent; Keen; Loyal; Playful; Spirited,Companion; Family; Watchdog,Medium; Double; Hard; Wiry; Varies,Salt and Pepper; Black; Red; Combinations; Black and Silver,Moderate,Moderate,Moderate-High,Yes,Yes,Moderate,Hip Dysplasia; Progressive Retinal Atrophy; Patellar Luxation
Rabbit Dachshund (Kaninchen),4 - Dachshunds,Hound,Germany,Very Small,12-16,3.5-5,12-16,Alert; Brave; Clever; Courageous; Determined; Even-Tempered; Friendly; Intelligent; Lively; Loyal; Merry; Playful,Hunting; Companion; Family,Short; Medium; Long; Smooth; Wirehaired; Longhaired,Red; Cream; Black and Tan; Dapple; Brindle; Combinations,Moderate,Moderate,Low-High (varies by coat),Yes,Yes,Moderate-High,Intervertebral Disc Disease; Hip Dysplasia; Patellar Luxation
Rafeiro do Alentejo,2 - Pinschers and Schnauzers; Molossoid Breeds; Swiss Mountain and Cattle Dogs,Working,Portugal,Large,62-73,30-60,10-12,Alert; Calm; Confident; Courageous; Independent; Intelligent; Loyal; Obedient; Protective,Guardian; Livestock Protection; Working; Companion,Medium; Double; Thick; Dense,Black; Black and Tan; Brown; Fawn; White Markings,Moderate,Moderate,Moderate,Yes,Moderate,Moderate,Hip Dysplasia; Bloat; Elbow Dysplasia
Redbone Coonhound,6 - Scenthounds and Related Breeds,Hound,United States,Large,53-66,20-32,11-12,Alert; Courageous; Even-Tempered; Independent; Loyal; Tenacious,Hunting; Scent Trailing; Companion; Family,Short; Dense,Red; Ruby,Moderate,High,Low,Yes,Yes,Moderate,Hip Dysplasia; Ear Infections; Bloat
Rhodesian Ridgeback,6 - Scenthounds and Related Breeds,Hound,Zimbabwe,Large,63-69,29-34,10-12,Alert; Affectionate; Courageous; Dignified; Even-Tempered; Independent; Intelligent; Loyal; Powerful,Hunting; Lion Hunting; Guardian; Companion; Family,Short; Smooth; Close; Dense,Light Wheaten to Red Wheaten; Ridge of Hair on Back,Moderate,High,Low,Yes,Yes,Moderate,Hip Dysplasia; Elbow Dysplasia; Bloat; Degenerative Myelopathy
Rottweiler,2 - Pinschers and Schnauzers; Molossoid Breeds; Swiss Mountain and Cattle Dogs,Working,Germany,Large,56-68,41-59,8-11,Alert; Confident; Courageous; Devoted; Even-Tempered; Fearless; Friendly; Intelligent; Loyal; Obedient; Powerful; Willing,Guardian; Protection; Police; Military; Working; Companion; Family,Short; Smooth; Close; Dense,Black with Tan; Red; Mahogany Markings; Rust Markings,Moderate,Moderate,Moderate,Yes,Yes,Very High,Hip Dysplasia; Bloat; Elbow Dysplasia; Heart Issues; Cancer
Round-Eared Dog (Ancient),5 - Spitz and Primitive Types,Hound (Rare),Egypt,Medium,45-55,20-25,12-15,Alert; Affectionate; Energetic; Friendly; Intelligent; Lively; Loyal; Playful,Hunting; Companion; Family,Short; Smooth; Dense,Red; Black; Brindle; Tricolor; White Markings,Moderate,High,Low,Yes,Yes,Moderate,Hip Dysplasia; No Major Health Issues
Royal Terrier (Miniature),3 - Terriers,Terrier (Rare),France/Belgium,Small,20-25,2.5-4.5,12-15,Alert; Affectionate; Courageous; Even-Tempered; Friendly; Intelligent; Keen; Lively; Loyal; Playful,Hunting; Companion; Family,Medium; Double; Hard; Rough; Wiry,Red; White; Black and Tan; Brindle; Combinations,Moderate,Moderate,High,Yes,Yes,Low,Patellar Luxation; Progressive Retinal Atrophy; Lens Luxation
Russian Balck Terrier,2 - Pinschers and Schnauzers; Molossoid Breeds; Swiss Mountain and Cattle Dogs,Working,Russia,Large,64-72,36-60,10-12,Confident; Courageous; Fearless; Loyal; Independent; Protective,Guardian; Protection; Military; Working; Companion,Medium; Double; Coarse; Wiry; Thick; Bushy Beard,Black; Gray-Black; Salt and Pepper,Moderate,High,High,Moderate,Yes,Moderate,Hip Dysplasia; Bloat; Elbow Dysplasia
Russian Spaniel,8 - Retrievers; Flushing Dogs; Water Dogs,Sporting,Russia,Small-Medium,38-44,18-23,12-15,Affectionate; Alert; Eager; Even-Tempered; Friendly; Intelligent; Lively; Loyal; Obedient,Hunting; Flushing; Water Retrieval; Companion; Family,Medium; Wavy; Feathered; Silky; Dense,Black; White; Red; Brown; Combinations; Markings,Moderate,High,High,Yes,Yes,High,Hip Dysplasia; Elbow Dysplasia; No Major Health Issues
Russian Toy,9 - Companion and Toy Dogs,Toy (Non-AKC),Russia,Tiny,20-28,3-3.5,12-14,Alert; Affectionate; Cheerful; Even-Tempered; Friendly; Intelligent; Keen; Lively; Loyal; Playful; Spirited,Companion; Family; Lapdog; Watchdog,Short; Smooth; Long Fringe on Ears (Feathered),Black and Tan; Blue and Tan; Lilac and Tan; Ruby; Red; Cream; Variations,High,Low-Moderate,Low,Yes,Yes,Moderate,Patellar Luxation; Heart Issues; Hypoglycemia; Tracheal Collapse
Russian Wolfhound (Borzoi Variant),10 - Sighthounds,Hound,Russia,Large,66-79,20-41,10-12,Affectionate; Dignified; Even-Tempered; Independent; Intelligent; Loyal,Hunting; Sighthound; Companion,Long; Silky; Feathered,White; Red; Black; Brindle; Combinations,Moderate,High,High,Yes,Yes,High,Hip Dysplasia; Heart Issues; Bloat
Russo-European Laika,5 - Spitz and Primitive Types,Non-Sporting,Russia,Large,53-65,18-30,12-15,Alert; Bold; Courageous; Energetic; Friendly; Independent; Intelligent; Keen; Lively; Loyal; Quick,Hunting; Guardian; Companion; Working,Medium; Double; Thick; Dense; Erect,Black and White; Gray and White; Red and White; Combinations,Moderate,Very High,High,Yes,Yes,Very High,Hip Dysplasia; No Major Health Issues
Saint Bernard,2 - Pinschers and Schnauzers; Molossoid Breeds; Swiss Mountain and Cattle Dogs,Working,Switzerland,Giant,65-81,54-82,8-10,Alert; Affectionate; Calm; Courageous; Dignified; Friendly; Gentle; Intelligent; Loyal; Patient; Powerful,Guardian; Rescue; Mountain Rescue; Companion; Family,Medium; Double; Short and Long Hairs; Dense,Red and White; Tan and White; Dark Brown and White; Black and White; Markings,Moderate,Moderate,Very High,Yes,Yes,Very High,Hip Dysplasia; Bloat; Elbow Dysplasia; Heart Issues; Entropion
Saluki,10 - Sighthounds,Hound,Egypt,Large,58-71,16-30,12-14,Alert; Aloof; Courageous; Dignified; Even-Tempered; Friendly; Gentle; Intelligent; Loyal; Playful; Sensitive; Swift,Hunting; Sighthound; Companion,Medium; Fine; Silky; Feathered,White; Red; Cream; Black and Tan; Brindle; Fawn; Combinations,Moderate,High,Moderate-High,Yes,Yes,Low,Hip Dysplasia; Bloat; No Major Health Issues
Samoyed,5 - Spitz and Primitive Types,Working,Siberia,Large,48-60,16-30,12-14,"Alert; Affectionate; Courageous; Dignified; Even-Tempered; Friendly; Gentle; Intelligent; Lively; Loyal; Playful; Responsive; Dignified; ""Smiling Sammy""",Sled Pulling; Companion; Family; Therapy Dog,Medium; Double; Thick; Fluffy; Weather-Resistant,White; Cream; Biscuit,Moderate,High,Very High,Yes,Yes,Very High,Hip Dysplasia; Elbow Dysplasia; Progressive Retinal Atrophy; Bloat
San Miguel Bulldog (Rare),2 - Pinschers and Schnauzers; Molossoid Breeds; Swiss Mountain and Cattle Dogs,Working (Rare),Philippines,Medium-Large,40-66,25-40,10-12,Alert; Brave; Courageous; Determined; Friendly; Intelligent; Loyal; Obedient; Protective,Guardian; Protection; Hunting; Companion; Working,Short; Smooth; Dense,Fawn; Brindle; Black; Combinations; White Markings,Moderate,High,Low,Moderate,Moderate,Moderate,Hip Dysplasia; Bloat; No Major Health Issues
Sarplaninac (Macedonian Shepherd),1 - Sheepdogs and Cattle Dogs,Working,Macedonia,Large-Giant,60-71,35-77,11-13,Alert; Brave; Courageous; Determined; Faithful; Intelligent; Loyal; Obedient; Protective,Guardian; Livestock Protection; Working; Companion,Medium; Double; Thick; Dense; Weather-Resistant,White; Cream; Gray; Yellow; Fawn; Combinations; Black Markings,Moderate,Moderate,Very High,Yes,Moderate,Very High,Hip Dysplasia; Bloat; Elbow Dysplasia; No Major Health Issues
Schapendoes,1 - Sheepdogs and Cattle Dogs,Herding,Netherlands,Medium,40-50,12-20,12-15,Alert; Affectionate; Courageous; Energetic; Even-Tempered; Friendly; Intelligent; Keen; Lively; Loyal; Responsive; Spirited; Eager,Herding; Guardian; Companion; Working; Family,Medium; Double; Long; Feathered; Profuse; Bangs Over Eyes,Black; Gray; Brown; Tan; White; Combinations; Markings,Moderate,Very High,Very High,Yes,Yes,Very High,Hip Dysplasia; Elbow Dysplasia; Progressive Retinal Atrophy
Schipperke,9 - Companion and Toy Dogs,Non-Sporting,Belgium,Small,25-33,3-9,13-15,Alert; Affectionate; Curious; Determined; Even-Tempered; Fearless; Friendly; Independent; Intelligent; Keen; Lively; Loyal; Mischievous; Obedient; Playful; Responsive; Self-assured; Spirited,Companion; Watchdog; Guardian; Family; Lapdog,Short; Double; Smooth; Harsh; Dense; Bushy on Neck and Rump,Black; solid Black with White Markings (non-standard),Moderate,Moderate,Moderate,Yes,Yes,Moderate,Patellar Luxation; Hip Dysplasia; Legg-Calve-Perthes Disease; Progressive Retinal Atrophy
Schnauzer,2 - Pinschers and Schnauzers; Molossoid Breeds; Swiss Mountain and Cattle Dogs,Terrier (Miniature) and Working (Standard; Giant),Germany,Standard & Giant,40-71,11-48,12-14,Alert; Affectionate; Balanced; Bold; Clever; Confident; Courageous; Determined; Even-Tempered; Fearless; Friendly; Intelligent; Keen; Lively; Loyal; Obedient; Playful; Spirited; Willing,Guardian; Companion; Watchdog; Working; Family,Medium; Double; Hard; Wiry; Bushy Eyebrows; Beard and Mustache,Salt and Pepper; Black; Black and Silver; Variations by Type,Moderate,Moderate-High,Moderate-High,Yes,Yes,Moderate (varies by type),Hip Dysplasia; Elbow Dysplasia (Standard/Giant); Progressive Retinal Atrophy; Diabetes (Miniature)
Scottish Deerhound,10 - Sighthounds,Hound,Scotland,Large,71-76,36-50,10-13,Affectionate; Courageous; Gentle; Intelligent; Loyal; Quiet; Sensitive; Swift; Wary,Hunting; Sighthound; Companion; Family,Medium; Rough; Double; Harsh; Wiry; Shaggy,Dark Blue-Gray; Gray; Grizzle; Brindle; Yellow; Tan; Fawn; Red; Combinations,Moderate,High,High,Yes,Yes,Moderate,Hip Dysplasia; Heart Issues; Bloat; Osteosarcoma
Scottish Terrier,3 - Terriers,Terrier,Scotland,Small,25-28,8.6-10,12-15,Alert; Affectionate; Courageous; Determined; Even-Tempered; Friendly; Independent; Intelligent; Keen; Lively; Loyal; Playful; Responsive; Spirited; Stubborn; Willing,Hunting; Guardian; Companion; Watchdog; Family,Medium; Double; Hard; Rough; Wiry,Black; Brindle; Wheaten; Cream; Variations,Moderate,Moderate,High,Yes,Yes,Moderate,Patellar Luxation; Scottie Cramp; Lens Luxation; Hip Dysplasia
Sealyham Terrier,3 - Terriers,Terrier,Wales,Small,25-30,7.3-9.1,12-14,Alert; Affectionate; Balanced; Courageous; Determined; Even-Tempered; Friendly; Intelligent; Keen; Lively; Loyal; Playful; Spirited,Hunting; Companion; Watchdog; Family,Medium; Double; Hard; Rough; Wiry; Bristly Mustache and Beard,White; Lemon and White; Badger and White; Black and White,Moderate,Moderate,Very High,Yes,Yes,Moderate,Patellar Luxation; Lens Luxation; Hip Dysplasia; Progressive Retinal Atrophy
Segugio Italiano,6 - Scenthounds and Related Breeds,Hound,Italy,Medium-Large,48-71,16-28,12-14,Affectionate; Determined; Even-Tempered; Friendly; Intelligent; Keen; Loyal; Obedient,Hunting; Scent Trailing; Companion; Family,Short; Smooth; Dense; Fine,Black and Tan; Red; Red and White; Black; Brindle,Moderate,High,Low,Yes,Yes,Low,Hip Dysplasia; No Major Health Issues
Shetland Sheepdog,1 - Sheepdogs and Cattle Dogs,Herding,Scotland,Small,33-40,6.5-7.5,12-13,Affectionate; Alert; Courageous; Eager; Even-Tempered; Friendly; Gentle; Intelligent; Keen; Loyal; Responsive; Sensitive; Soft; Trainable; Willing,Herding; Companion; Family; Watchdog,Medium; Double; Thick; Feathered; Dense,Sable; Tricolor; Black; Blue Merle; Tan Markings; White Markings,Moderate,High,Very High,Yes,Yes,Very High,Hip Dysplasia; Collie Eye Anomaly; Progressive Retinal Atrophy; Bloat
Shiba Inu,5 - Spitz and Primitive Types,Non-Sporting,Japan,Small,33-43,7.7-10.4,12-15,Alert; Bold; Confident; Courageous; Even-Tempered; Fearless; Friendly; Intelligent; Keen; Independent; Lively; Loyal; Playful; Responsive; Spirited; Stubborn; Swift,Hunting; Companion; Family; Watchdog,Medium; Double; Straight; Thick; Erect; Plumed Tail,Red; Sesame; Black and Tan; Cream; Brindle; White,Moderate,High,Moderate,Yes,Yes,Very High,Hip Dysplasia; Patellar Luxation; Progressive Retinal Atrophy; Allergies
Shih Tzu,9 - Companion and Toy Dogs,Toy,China/Tibet,Small,20-28,4.1-8.2,10-18,Affectionate; Alert; Arrogant; Bouncy; Cheerful; Courageous; Friendly; Intelligent; Keen; Lively; Loyal; Playful; Responsive; Stubborn; Willful,Companion; Lapdog; Family,Medium; Double; Long; Fine; Silky; Feathered,All colors; White; Red; Black; Gray; Cream; Combinations; Black and Tan,High,Moderate,Very High,Yes,Yes,Low,Hip Dysplasia; Progressive Retinal Atrophy; Keratitis Sicca; Breathing Issues
Shikoku,5 - Spitz and Primitive Types,Non-Sporting,Japan,Medium,43-52,16-22,12-15,Alert; Bold; Courageous; Even-Tempered; Friendly; Independent; Intelligent; Keen; Lively; Loyal,Hunting; Guardian; Companion; Family,Medium; Double; Thick; Erect; Coarse,Red; Black and Tan; Sesame; White,Moderate,High,Moderate,Yes,Yes,Very High,Hip Dysplasia; No Major Health Issues
Siberian Husky,5 - Spitz and Primitive Types,Working,Siberia,Large,50-60,16-27,12-14,Alert; Affectionate; Courageous; Dignified; Energetic; Even-Tempered; Friendly; Gentle; Intelligent; Keen; Lively; Loyal; Mischievous; Outgoing; Playful; Responsive; Thrifty,Sled Pulling; Companion; Family; Racing,Medium; Double; Thick; Fluffy; Dense,Various colors; Black and White; Gray and White; Red and White; Sable; Combinations,Moderate,Very High,High,Yes,Yes,Very High,Hip Dysplasia; Elbow Dysplasia; Progressive Retinal Atrophy; Bloat
Silken Windhound,10 - Sighthounds,Hound (Non-AKC),United States,Medium,43-52,6.8-10,12-15,Alert; Affectionate; Courageous; Friendly; Gentle; Intelligent; Keen; Lively; Loyal; Playful; Responsive; Sensitive; Swift,Hunting; Sighthound; Companion; Family; Show Dog,Medium; Long; Silky; Fine; Feathered,All colors; Combinations,Moderate,Moderate,High,Yes,Yes,Low,Hip Dysplasia; No Major Health Issues
Silky Terrier,9 - Companion and Toy Dogs,Toy,Australia,Small,23-26,3.6-4.5,12-15,Alert; Affectionate; Courageous; Determined; Even-Tempered; Friendly; Gentle; Intelligent; Keen; Lively; Loyal; Obedient; Playful; Responsive; Spirited; Willing,Hunting; Companion; Watchdog; Family; Lapdog,Medium; Silky; Fine; Smooth; Flowing,Blue and Tan; Gray-Blue and Tan; Cream; Fawn; Tan Markings,Moderate,Moderate,Very High,Yes,Yes,Moderate,Patellar Luxation; Diabetes; Tracheal Collapse; Legg-Calve-Perthes Disease
Skye Terrier,3 - Terriers,Terrier,Scotland,Small,25-26,7.3-11,12-14,Alert; Affectionate; Courageous; Determined; Even-Tempered; Friendly; Intelligent; Keen; Lively; Loyal; Playful; Responsive; Spirited; Staunch,Hunting; Companion; Watchdog; Family,Medium; Double; Harsh; Hard; Wiry; Long Hair Covering Eyes and Ears,Black; Dark Gray; Fawn; Cream; Combinations,Moderate,Moderate,Very High,Yes,Yes,Moderate,Patellar Luxation; Hip Dysplasia; Intervertebral Disc Disease; Progressive Retinal Atrophy
Sloughi,10 - Sighthounds,Hound,North Africa,Medium-Large,61-72,16-27,12-14,Alert; Aloof; Courageous; Dignified; Even-Tempered; Friendly; Gentle; Independent; Intelligent; Loyal; Sensitive; Swift,Hunting; Sighthound; Companion; Family,Short; Fine; Smooth,Red; Fawn; Black and Tan; Combinations; Tan Markings,Moderate,High,Low,Yes,Yes,Low,Hip Dysplasia; No Major Health Issues
Small Munsterlander Pointer,7 - Pointers,Sporting,Germany,Large,48-56,18-32,12-14,Affectionate; Alert; Eager; Even-Tempered; Friendly; Intelligent; Lively; Loyal; Obedient; Willing,Hunting; Pointing; Companion; Family,Medium; Double; Wavy; Feathered; Dense,Brown and White; Liver and White; Roan; Combinations; Spotted,Moderate,Very High,Moderate,Yes,Yes,Moderate,Hip Dysplasia; Elbow Dysplasia; Progressive Retinal Atrophy
Smooth Fox Terrier,3 - Terriers,Terrier,Great Britain,Small,39-41,7.3-8.6,12-15,Alert; Affectionate; Courageous; Determined; Even-Tempered; Friendly; Intelligent; Keen; Lively; Loyal; Playful; Responsive; Spirited,Hunting; Companion; Family; Watchdog,Short; Smooth; Dense; Hard; Close; Glossy,White; White with Markings; Black; Brown; Combinations,Low,Moderate,Low,Yes,Yes,Moderate,Patellar Luxation; Lens Luxation; Deafness; Myopia
Smooth Collie,1 - Sheepdogs and Cattle Dogs,Herding,Great Britain,Large,55-66,20-34,12-14,Affectionate; Alert; Gentle; Intelligent; Loyal,Herding; Family; Companion,Short; Smooth; Close; Dense,Sable; Merle; Blue Merle; Tan; White Markings,Moderate,High,Moderate,Yes,Yes,High,Hip Dysplasia; Collie Eye Anomaly; Progressive Retinal Atrophy
Smooth Miniature Dachshund,4 - Dachshunds,Hound,Germany,Small,20-25,4.5-5,12-16,Alert; Brave; Clever; Courageous; Determined; Even-Tempered; Friendly; Intelligent; Keen; Lively; Loyal; Merry; Playful; Spirited,Hunting; Companion; Family,Short; Smooth; Glossy; Close; Dense,Red; Cream; Black and Tan; Chocolate; Dapple; Brindle; Combinations,Moderate,Moderate,Low,Yes,Yes,Moderate,Intervertebral Disc Disease; Hip Dysplasia; Patellar Luxation
Smooth-Haired Dachshund,4 - Dachshunds,Hound,Germany,Small-Large,Various,Varies,12-16,Alert; Brave; Clever; Courageous; Determined; Friendly; Intelligent; Keen; Lively; Loyal; Merry; Playful,Hunting; Companion; Family,Short; Smooth; Glossy; Close; Dense,Red; Cream; Black and Tan; Chocolate; Dapple; Brindle,Moderate,Moderate,Low,Yes,Yes,Moderate,Intervertebral Disc Disease; Hip Dysplasia; Patellar Luxation
Soft Coated Wheaten Terrier,3 - Terriers,Terrier,Ireland,Medium,43-49,13-18,12-14,Alert; Affectionate; Courageous; Even-Tempered; Friendly; Intelligent; Keen; Lively; Loyal; Playful; Responsive; Spirited; Strong-Willed; Willing,Hunting; Companion; Family; Watchdog,Medium; Double; Silky; Wavy; Profuse; Soft; Dense,Cream; Wheaten; Fawn; Golden,Moderate,High,Very High,Yes,Yes,Moderate,Hip Dysplasia; Elbow Dysplasia; Progressive Retinal Atrophy; Bloat
Solognac,7 - Pointers,Sporting,France,Large,55-63,20-28,12-15,Affectionate; Alert; Eager; Even-Tempered; Friendly; Intelligent; Loyal,Hunting; Pointing; Companion; Family,Medium; Double; Fine; Smooth,Orange and White; Orange; Red; Brown; Liver; Combinations,Moderate,High,Moderate,Yes,Yes,Moderate,Hip Dysplasia; Elbow Dysplasia; No Major Health Issues
Spanish Mastiff,2 - Pinschers and Schnauzers; Molossoid Breeds; Swiss Mountain and Cattle Dogs,Working,Spain,Giant,72-88,50-90,10-12,Alert; Confident; Courageous; Dignified; Faithful; Friendly; Intelligent; Loyal; Obedient; Patient; Protective,Guardian; Livestock Protection; Working; Companion,Medium; Double; Thick; Dense,Fawn; Brindle; Black; Brown; Cream; White Markings; Combinations,Moderate,Moderate,Moderate,Yes,Yes,Very High,Hip Dysplasia; Bloat; Elbow Dysplasia; Dilated Cardiomyopathy
